,FREQUENC,GEO,TIME,ISCED11,AGE,SEX,UNIT,ACL00,Value
0,Not in the last 12 months,Belgium,2015,All ISCED 2011 levels ,16 years or over,Total,Percentage,Sports events,68.6
1,Not in the last 12 months,Bulgaria,2015,All ISCED 2011 levels ,16 years or over,Total,Percentage,Sports events,82.5
2,Not in the last 12 months,Czechia,2015,All ISCED 2011 levels ,16 years or over,Total,Percentage,Sports events,58.7
3,Not in the last 12 months,Denmark,2015,All ISCED 2011 levels ,16 years or over,Total,Percentage,Sports events,58.8
4,Not in the last 12 months,Germany,2015,All ISCED 2011 levels ,16 years or over,Total,Percentage,Sports events,64.8
5,Not in the last 12 months,Estonia,2015,All ISCED 2011 levels ,16 years or over,Total,Percentage,Sports events,72.5
6,Not in the last 12 months,Ireland,2015,All ISCED 2011 levels ,16 years or over,Total,Percentage,Sports events,56.5
7,Not in the last 12 months,Greece,2015,All ISCED 2011 levels ,16 years or over,Total,Percentage,Sports events,73.1
8,Not in the last 12 months,Spain,2015,All ISCED 2011 levels ,16 years or over,Total,Percentage,Sports events,74.5
9,Not in the last 12 months,France,2015,All ISCED 2011 levels ,16 years or over,Total,Percentage,Sports events,71.6
10,Not in the last 12 months,Croatia,2015,All ISCED 2011 levels ,16 years or over,Total,Percentage,Sports events,74.1
11,Not in the last 12 months,Italy,2015,All ISCED 2011 levels ,16 years or over,Total,Percentage,Sports events,81.1
12,Not in the last 12 months,Cyprus,2015,All ISCED 2011 levels ,16 years or over,Total,Percentage,Sports events,76.7
13,Not in the last 12 months,Latvia,2015,All ISCED 2011 levels ,16 years or over,Total,Percentage,Sports events,66.6
14,Not in the last 12 months,Lithuania,2015,All ISCED 2011 levels ,16 years or over,Total,Percentage,Sports events,75.1
15,Not in the last 12 months,Luxembourg,2015,All ISCED 2011 levels ,16 years or over,Total,Percentage,Sports events,59.5
16,Not in the last 12 months,Hungary,2015,All ISCED 2011 levels ,16 years or over,Total,Percentage,Sports events,75.0
